epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1124.72,1.60699,1.29068,1.08603,0.39098,0.42878,0.35924,0.18254,1.78071,2.20317,1.49689,0.000900844,0.000900844,0.000900844
43,1167.49,1.57863,1.27824,1.07162,0.4027,0.44724,0.37992,0.18604,1.78692,2.12279,1.51484,0.000896127,0.000896127,0.000896127
44,1195.43,1.60893,1.28704,1.07352,0.41185,0.44693,0.38918,0.20002,1.81407,2.08561,1.49147,0.000891313,0.000891313,0.000891313
45,1216.96,1.58943,1.25611,1.065,0.47359,0.41634,0.40821,0.20857,1.75179,1.97652,1.48127,0.000886404,0.000886404,0.000886404
46,1238.38,1.61762,1.27184,1.07261,0.47796,0.41791,0.40464,0.20515,1.78748,2.02599,1.5246,0.000881401,0.000881401,0.000881401
47,1259.77,1.58976,1.24267,1.0673,0.51712,0.35623,0.37831,0.18611,1.807,2.27901,1.528,0.000876305,0.000876305,0.000876305
48,1280.88,1.56365,1.22501,1.0605,0.4259,0.45778,0.3928,0.19488,1.82758,2.0647,1.55074,0.000871117,0.000871117,0.000871117
49,1302.3,1.56858,1.23269,1.06543,0.51068,0.37997,0.38353,0.2007,1.80753,2.22716,1.53747,0.000865839,0.000865839,0.000865839
50,1323.86,1.57911,1.24219,1.07012,0.43915,0.44361,0.40878,0.20525,1.74838,1.96543,1.5232,0.000860473,0.000860473,0.000860473
51,1361.53,1.58064,1.25248,1.07669,0.47601,0.44923,0.42597,0.20967,1.79267,1.94637,1.49887,0.000855018,0.000855018,0.000855018
52,1384.14,1.56831,1.22587,1.06574,0.43988,0.37179,0.37819,0.19621,1.7818,2.0072,1.52989,0.000849477,0.000849477,0.000849477
53,1406.35,1.59253,1.23807,1.07276,0.45693,0.42853,0.40034,0.2037,1.77368,1.99175,1.49586,0.000843851,0.000843851,0.000843851
54,1441.69,1.55605,1.17612,1.04926,0.4623,0.43407,0.39523,0.20803,1.71375,2.00162,1.44452,0.000838141,0.000838141,0.000838141
55,1485.75,1.53727,1.17083,1.04968,0.44387,0.40833,0.40819,0.20835,1.78958,2.00917,1.49799,0.000832349,0.000832349,0.000832349
56,1523.92,1.55555,1.20212,1.05675,0.46625,0.41987,0.41346,0.21693,1.74727,1.90586,1.47752,0.000826477,0.000826477,0.000826477
57,1545.58,1.5382,1.17398,1.04628,0.47772,0.43891,0.40698,0.20267,1.79804,2.03052,1.53109,0.000820525,0.000820525,0.000820525
58,1568.32,1.54777,1.17264,1.04894,0.51999,0.43317,0.41459,0.2085,1.75868,1.98588,1.48167,0.000814495,0.000814495,0.000814495
59,1607.37,1.53601,1.18607,1.05434,0.49591,0.40949,0.42244,0.21478,1.72674,2.01288,1.47124,0.000808389,0.000808389,0.000808389
60,1629.26,1.54011,1.16995,1.05472,0.48609,0.44025,0.40108,0.19827,1.75612,2.03189,1.48623,0.000802208,0.000802208,0.000802208
61,1651.03,1.53845,1.14777,1.04174,0.52846,0.44355,0.43899,0.23032,1.74384,1.88044,1.48262,0.000795954,0.000795954,0.000795954
62,1672.93,1.51934,1.13035,1.03588,0.56195,0.42448,0.45505,0.22624,1.79405,1.87619,1.54334,0.000789628,0.000789628,0.000789628
63,1694.32,1.53515,1.15164,1.04859,0.57066,0.41628,0.44741,0.22704,1.76718,1.95324,1.51072,0.000783231,0.000783231,0.000783231
